Date/Time,Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Refrigeration:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Heating:Gas [J](Hourly) 
 01/01  01:00:00,231904819.80733866,18716142.85714286,66264342.95019561,0.0,0.0,71225798.4,72118421.99999997,3580113.6000000007,18716142.85714286,195754733.3534407,195754733.3534407,195754733.3534407 
 01/01  02:00:00,232836894.15448839,18716142.85714286,66396516.0173454,0.0,0.0,71146043.28,72984211.19999999,3593980.8000000005,18716142.85714286,196915068.89684595,196915068.89684595,196915068.89684595 
 01/01  03:00:00,233167065.71011324,18716142.85714286,66071127.93297025,0.0,0.0,71177013.72,73610485.19999999,3592296.0,18716142.85714286,202204759.8689988,202204759.8689988,202204759.8689988 
 01/01  04:00:00,234125698.8234716,18716142.85714286,65521242.60632862,0.0,0.0,71417849.75999999,74879852.39999996,3590611.2,18716142.85714286,209157065.2886842,209157065.2886842,209157065.2886842 
 01/01  05:00:00,233840251.67107133,18716142.85714286,63822752.25392825,0.0,0.0,72407216.16,75312471.60000006,3581668.8000000005,18716142.85714286,224216399.80338947,224216399.80338947,224216399.80338947 
 01/01  06:00:00,216384685.84852035,18716142.85714286,38741698.83137734,0.0,0.0,75165766.56,77202194.39999996,6558883.200000001,18716142.85714286,228512144.6036647,228512144.6036647,228512144.6036647 
 01/01  07:00:00,353835315.31775388,18716142.85714286,99358273.86061087,0.0,0.0,146805460.2,80247873.59999995,8707564.799999999,18716142.85714286,208316256.97828535,208316256.97828535,208316256.97828535 
 01/01  08:00:00,443752214.9197241,18716142.85714286,179228841.02258108,0.0,0.0,156021643.44,83338419.60000007,6447168.0,18716142.85714286,214910834.04986827,214910834.04986827,214910834.04986827 
 01/01  09:00:00,507477814.36013969,18716142.85714286,167660810.54299677,0.0,0.0,234595960.56,84053905.20000009,2450995.2,18716142.85714286,201382217.53718717,201382217.53718717,201382217.53718717 
 01/01  10:00:00,594542463.3485913,18716142.85714286,190563717.93144856,0.0,0.0,299146505.76,84613298.39999993,1502798.4,18716142.85714286,167873883.53527043,167873883.53527043,167873883.53527043 
 01/01  11:00:00,581584566.7538353,18716142.85714286,190018745.53669257,0.0,0.0,287326674.36,83900671.19999999,1622332.8,18716142.85714286,144862995.68992786,144862995.68992786,144862995.68992786 
 01/01  12:00:00,581366349.9596876,18439714.285714285,190574642.1939733,0.0,0.0,288242522.28,83561176.80000003,548294.4,18439714.285714285,127890984.32874382,127890984.32874382,127890984.32874382 
 01/01  13:00:00,593317894.854991,18439714.285714285,195171501.2092769,0.0,0.0,295278158.16,84204269.9999999,224251.19999999999,18439714.285714285,111859540.60002396,111859540.60002396,111859540.60002396 
 01/01  14:00:00,603432037.4728534,18439714.285714285,209243003.94713933,0.0,0.0,291791858.04,83753427.59999994,204033.6,18439714.285714285,99777823.80873719,99777823.80873719,99777823.80873719 
 01/01  15:00:00,616038189.4606594,18439714.285714285,218264214.01494507,0.0,0.0,294836313.96000006,83806142.40000008,691804.8,18439714.285714285,74239730.36720999,74239730.36720999,74239730.36720999 
 01/01  16:00:00,596991070.3198499,18439714.285714285,201971011.71413545,0.0,0.0,290116962.72,83691799.20000009,2771582.4,18439714.285714285,59060676.33430661,59060676.33430661,59060676.33430661 
 01/01  17:00:00,604623593.6685028,18439714.285714285,199860731.94278849,0.0,0.0,296163242.64,83750234.4,6409670.4,18439714.285714285,75150198.37093759,75150198.37093759,75150198.37093759 
 01/01  18:00:00,596657671.3732615,18439714.285714285,196694390.8475472,0.0,0.0,288536138.64,84192901.20000004,8794526.4,18439714.285714285,89368312.57922876,89368312.57922876,89368312.57922876 
 01/01  19:00:00,594548582.0988039,18439714.285714285,224975212.7730899,0.0,0.0,258573770.64,83783674.79999991,8776209.6,18439714.285714285,101976983.00636108,101976983.00636108,101976983.00636108 
 01/01  20:00:00,558754888.4125991,18439714.285714285,197059705.08688504,0.0,0.0,251447354.64000003,83023783.19999998,8784331.2,18439714.285714285,114586887.83331946,114586887.83331946,114586887.83331946 
 01/01  21:00:00,520002405.0114137,18508821.428571427,190065156.9028424,0.0,0.0,219765061.07999999,83037751.19999995,8625614.4,18508821.428571427,134889041.9633022,134889041.9633022,134889041.9633022 
 01/01  22:00:00,330731193.88202479,18577928.57142857,91870791.35059628,0.0,0.0,128395785.96,83252001.59999992,8634686.4,18577928.57142857,144226361.2384098,144226361.2384098,144226361.2384098 
 01/01  23:00:00,249999630.18151213,18716142.85714286,70607572.00436898,0.0,0.0,72104182.92,79903436.40000008,8668296.0,18716142.85714286,163580155.48192204,163580155.48192204,163580155.48192204 
 01/01  24:00:00,235306898.87736399,18716142.85714286,64718044.54022099,0.0,0.0,71269399.08,74723965.2,5879347.2,18716142.85714286,189010463.91340775,189010463.91340775,189010463.91340775 
 01/02  01:00:00,234086165.87576608,18716142.85714286,68445689.01862303,0.0,0.0,71225798.4,72118421.99999997,3580113.6000000007,18716142.85714286,184778421.27129726,184778421.27129726,184778421.27129726 
 01/02  02:00:00,234410185.07410366,18716142.85714286,67969806.93696067,0.0,0.0,71146043.28,72984211.19999999,3593980.8000000005,18716142.85714286,197010802.60956515,197010802.60956515,197010802.60956515 
 01/02  03:00:00,233270853.9757887,18716142.85714286,66174916.19864573,0.0,0.0,71177013.72,73610485.19999999,3592296.0,18716142.85714286,213661414.34774465,213661414.34774465,213661414.34774465 
 01/02  04:00:00,233987366.4026354,18716142.85714286,65382910.18549237,0.0,0.0,71417849.75999999,74879852.39999996,3590611.2,18716142.85714286,229142693.38832713,229142693.38832713,229142693.38832713 
 01/02  05:00:00,234558047.49901594,18716142.85714286,64540548.08187284,0.0,0.0,72407216.16,75312471.60000006,3581668.8000000005,18716142.85714286,227066146.28788204,227066146.28788204,227066146.28788204 
 01/02  06:00:00,243589850.4761136,18716142.85714286,65946863.45897058,0.0,0.0,75165766.56,77202194.39999996,6558883.200000001,18716142.85714286,210502958.78027476,210502958.78027476,210502958.78027476 
 01/02  07:00:00,400392737.8000365,18716142.85714286,145915696.34289355,0.0,0.0,146805460.2,80247873.59999995,8707564.799999999,18716142.85714286,195054424.31233115,195054424.31233115,195054424.31233115 
